 Count  Overhead File                    Line Function
     1         0 …piler\ssair\tarjan.jl    51 #376
     1         0 …iler\ssair\domtree.jl   605 dominates
     1         1 …iler\ssair\domtree.jl     ? _dominates(domtree::Core.Compiler…
     1         1 …compiler\utilities.jl   213 #specialize_method#317
     1         0 …\compiler\optimize.jl  1194 convert_to_ircode(ci::Core.CodeIn…
     1         0 …ler\ssair\slot2ssa.jl   174 strip_trailing_junk!(ci::Core.Cod…
     1         0 @JuMP\src\aff_expr.jl    711 _assert_isfinite(a::JuMP.AffExpr)
     1         0 @JuMP\src\aff_expr.jl    464 iterate
     1         0 …s\src\ordered_dict.jl   457 iterate
     1         1 @JuMP\src\aff_expr.jl    749 MathOptInterface.ScalarAffineFunc…
     1         1 @Base\task.jl            829 enq_work(t::Task)
     1         0 @Base\task.jl            751 popfirst!(W::Base.IntrusiveLinked…
     1         0 @Base\locks-mt.jl         68 unlock
     1         1 …uct_of_constraints.jl    70 constraints(model::MathOptInterfa…
     1         0 @Base\dict.jl            147 rehash!(h::Dict{Int64, Nothing}, …
     1         1 …HS\src\MOI_wrapper.jl  1017 set(model::HiGHS.Optimizer, ::Mat…
     1         1 …ptimizer_interface.jl     ? get(model::JuMP.Model, attr::Math…
     1         0 …MP\src\constraints.jl  1055 add_constraint(model::JuMP.Model,…
     1         1 …s\cachingoptimizer.jl   552 supports_constraint(m::MathOptInt…
     1         1 @Base\channels.jl        219 isopen
     1         0 @Base\dict.jl            323 _setindex!
     1         0 @Base\dict.jl            135 isslotmissing
     1         1 @Base\channels.jl        626 iterate(c::Channel{Any}, state::N…
     1         0 …s\src\sparsevector.jl   908 findnz(x::SparseArrays.SparseVect…
     1         1 …uct_of_constraints.jl    51 (::MathOptInterface.Utilities.var…
     1         0 …s\src\ordered_dict.jl   314 _setindex!(h::OrderedCollections.…
     1         0 …\strings\substring.jl   236 string
     1         0 …\strings\substring.jl   254 _string(::String, ::Vararg{String…
     1         0 @JuMP\src\variables.jl  2226 _moi_add_variable(moi_backend::Ma…
     1         0 …s\cachingoptimizer.jl  1050 set
     1         0 …\universalfallback.jl   773 set
     1         0 …rc\Utilities\model.jl   237 set
     1         0 …HS\src\MOI_wrapper.jl   904 delete(model::HiGHS.Optimizer, v:…
     1         0 …ler\ssair\slot2ssa.jl   294 iterated_dominance_frontier(cfg::…
     1         0 @Base\bitset.jl          118 _growend0!
     1         0 …compiler\typeinfer.jl  1099 typeinf_ext(interp::Core.Compiler…
     1         1 @Base\bitset.jl            ? find_ssavalue_uses(body::Vector{A…
     1         1 …piler\ssair\legacy.jl    34 inflate_ir!(ci::Core.CodeInfo, sp…
     1         0 …ler\ssair\slot2ssa.jl   689 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …\compiler\optimize.jl   830 scan_inconsistency!(inst::Core.Co…
     1         1 …\compiler\optimize.jl   443 argextype(x::Any, src::Core.Compi…
     1         0 …ler\ssair\slot2ssa.jl   445 domsort_ssa!(ir::Core.Compiler.IR…
     1         0 …\compiler\optimize.jl   270 new_expr_effect_flags(𝕃ₒ::Core.Co…
     1         0 …compiler\utilities.jl   214 #specialize_method#317
     1         0 …compiler\utilities.jl   202 normalize_typevars(method::Method…
     1         1 …compiler\utilities.jl   192 subst_trivial_bounds(atype::Any)
     1         0 …ler\inferencestate.jl  1007 get_max_methods
     1         0 …ler\inferencestate.jl  1015 get_max_methods
     1         0 …ler\inferencestate.jl  1028 get_max_methods_for_module
     1         1 …ler\inferencestate.jl   819 frame_module
     1         0 …\compiler\ssair\ir.jl  1456 process_node!(compact::Core.Compi…
     1         1 @Base\array.jl             ? kill_current_use!(compact::Core.C…
     1         0 …ler\ssair\inlining.jl   428 ir_inline_item!(compact::Core.Com…
     1         0 …piler\ssair\passes.jl  1951 mark_phi_cycles!(compact::Core.Co…
     1         1 …se\compiler\tfuncs.jl  2233 _builtin_nothrow(𝕃::Core.Compiler…
     1         0 …piler\ssair\passes.jl   701 finish_phi_nest!(compact::Core.Co…
     1         0 …ler\ssair\slot2ssa.jl   849 construct_ssa!(ci::Core.CodeInfo,…
     1         0 …\compiler\optimize.jl   827 scan_inconsistency!(inst::Core.Co…
     1         1 …\compiler\ssair\ir.jl  1811 iterate_compact(compact::Core.Com…
     1         0 …ler\ssair\inlining.jl   629 ir_inline_unionsplit!(compact::Co…
     1         0 …ractinterpretation.jl  2268 abstract_call_unknown(interp::Cor…
     1         1 …ler\ssair\inlining.jl   888 resolve_todo(mi::Core.MethodInsta…
     1         1 …ractinterpretation.jl  2372 abstract_eval_special_value
     1         0 …\compiler\ssair\ir.jl  1748 iterate_compact(compact::Core.Com…
     1         0 …ler\ssair\slot2ssa.jl   452 domsort_ssa!(ir::Core.Compiler.IR…
     1         0 …iler\ssair\domtree.jl   322 SNCA!(domtree::Core.Compiler.Gene…
     1         1 …ler\inferencestate.jl   327 Core.Compiler.InferenceState(resu…
     1         0 …ractinterpretation.jl   199 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl  1169 const_prop_methodinstance_heurist…
     1         0 …\compiler\ssair\ir.jl   700 Core.Compiler.IncrementalCompact(…
     1         0 …compiler\utilities.jl    35 contains_is
     1         0 …\compiler\stmtinfo.jl   101 getresult_impl(info::Core.Compile…
     1         0 …ractinterpretation.jl   826 abstract_call_method_with_const_a…
     1         0 …ractinterpretation.jl   917 concrete_eval_eligible
     1         0 …ractinterpretation.jl   936 any_conditional
     1         0 …ractinterpretation.jl   935 any_conditional
     1         0 …compiler\utilities.jl    19 _any
     1         1 @Base\essentials.jl        ? add_call_backedges!(interp::Core.…
     1         1 …ler\ssair\slot2ssa.jl   513 compute_live_ins(cfg::Core.Compil…
     1         0 …ler\ssair\inlining.jl   262 finish_cfg_inline!(state::Core.Co…
