reaction_id,index
R_FEENTERtex,917
R_PHETA1_b,1684
R_FE3HOXabcpp,897
R_ALAALAtex_b,282
R_3OAR40_f,82
R_AGPAT181,264
R_DOXRBCNtex_b,624
R_HACD7_f,1144
R_HXAND,1184
R_MG2tex_f,1403
R_PSSA140,1802
R_2AGPG120tipp,36
R_ATHRDHr_b,402
R_LPLIPAL2E180,1329
R_EAR160y,657
R_XAND,2078
R_GLCNtex_b,1006
R_PANTS,1596
R_EAR100y,647
R_AGMHE,253
R_EX_arg_DASH_L_LPAREN_e_RPAREN_,736
R_F6PP,850
R_LPLIPAL1G160pp,1313
R_ACACT7r_f,147
R_EX_eca4colipa_LPAREN_e_RPAREN_,758
R_CYSS,527
R_2AGPA160tipp,18
R_PDXPP,1620
R_UPP3MT,2045
R_USHD,2068
R_UDCPDP,2025
R_PA140abcpp,1590
R_EX_cl_LPAREN_e_RPAREN__b,745
R_ME1,1383
R_GUAPRT,1117
R_APH181,344
R_FECRMR1,904
R_PE120abcpp,1621
R_MCITS,1364
R_PPNCL2,1765
R_ACACT7r_b,146
R_ECOAH6_f,687
R_GLUR_b,1032
R_PNTK,1742
R_FEOXAMexs,926
R_ASPtex_b,399
R_EX_h2s_LPAREN_e_RPAREN_,785
R_ILETA_b,1220
R_GDPTPDP,991
R_ASPCT,383
R_CLPNS180pp_f,469
R_FE3HOXR2,893
R_PGSA160,1678
R_THIORDXi,1952
R_ARGSL_f,365
R_MMM,1433
R_GTPHs,1114
R_L_DASH_LACtex_b,1350
R_UAMAS,2023
R_VALt2rpp_b,2072
R_GTHOr_b,1101
R_H2Stex_f,1130
R_PLIPA1G180pp,1714
R_ALAt4pp,296
R_ADD,213
R_ALLTNt2rpp_b,307
R_R1PK,1854
R_TYRt2rpp_b,2008
R_CLtex_f,474
R_THRD,1960
R_GLUN,1030
R_ICHORSi,1206
R_CLPNH120pp,451
R_EX_nh4_LPAREN_e_RPAREN__b,813
R_FESD1s,929
R_OMBZLM,1567
R_PRAGSr_b,1771
R_UREAtpp_f,2059
R_FA140ACPHi,853
R_UDCPPtppi,2028
R_IDOND_f,1212
R_GHMT2r_f,999
R_DM_AMOB,619
R_UDCPDPpp,2027
R_SERASr_f,1896
R_PLIPA2A160pp,1719
R_ECOAH3_f,681
R_GLYtex_b,1083
R_THD2pp,1949
R_PUNP6_f,1830
R_ORNabcpp,1581
R_HEPT2,1155
R_INSK,1236
R_PGMT_b,1650
R_CU2tpp,525
R_FE3abcpp,901
R_CDAPPA141,433
R_HSDy_f,1180
R_LPLIPAL2G160,1334
R_IDONt2rpp_b,1213
R_BMOCOS,409
R_AGPAT140,259
R_RPI_b,1879
R_CYTDH,538
R_MPTS,1456
R_OGMEACPD,1561
R_PG141abcpp,1637
R_PLIPA1E141pp,1704
R_METSOXR2,1399
R_NNAM,1515
R_CGLYabcpp,439
R_ACOAD5f_b,176
R_GLBRAN2,1002
R_MALtex_b,1358
R_PSD160,1795
R_ACALDtpp_f,155
R_RHAT1,1863
R_SDPTA_b,1892
R_FEENTERR3,914
R_GLYCtex_f,1073
R_CTECOAI6_f,516
R_GGPTRCS,997
R_KDOPP,1260
R_IMPD,1229
R_GLYCLTDx,1062
R_2AGPEAT120,29
R_GTHPi,1103
R_NDPK3_b,1490
R_PLIPA2E140pp,1724
R_GUAtex_b,1119
R_AGDC,241
R_ACOAD4f_f,175
R_EX_glyc_LPAREN_e_RPAREN_,779
R_Kabcpp,1262
R_PG161abcpp,1639
R_5MTRtex_b,113
R_2AGPGAT180,48
R_DHAtpp_b,588
R_FACOAE140,860
R_MNtex_b,1438
R_EX_mg2_LPAREN_e_RPAREN__f,808
R_CBL1tonex,421
R_OMCDC,1568
R_PSSA120,1801
R_ALAALAr_f,281
R_DASYN161,572
R_PTRCt2pp,1816
R_ILEtex_b,1225
R_PUNP6_b,1829
R_3OAR180_b,78
R_UAGAAT_f,2018
R_APG3PAT140,332
R_MTHFD_f,1463
R_MLTG3,1419
R_PLIPA1A181pp,1701
R_PLIPA1A141pp,1697
R_PAPA141,1601
R_VPAMTr_f,2077
R_NDPK2_f,1489
R_KAS14,1257
R_GLYt2rpp_f,1081
R_EAR60y,667
R_FEENTERabcpp,915
R_PE161abcpp,1625
R_2AGPA181tipp,21
R_LPLIPAL2E181,1330
R_DHNPA2r_f,603
R_MN2t3pp,1434
R_PAPA160,1603
R_NI2tex_b,1508
R_ADEtex_b,216
R_FUM_f,947
R_CLPNS120pp_f,459
R_MTHFD_b,1462
R_THRD_L,1961
R_LPLIPAL2G140,1332
R_EGMEACPR,698
R_GLUDy_f,1029
R_EX_ptrc_LPAREN_e_RPAREN_,825
R_MPTG,1454
R_PDE4,1615
R_EX_indole_LPAREN_e_RPAREN_,794
R_G3PD2_f,963
R_GUAtex_f,1120
R_GUAtpp_f,1122
R_TKT1_f,1975
R_Zn2tex_f,2097
R_LEUTAi,1283
R_GLCP2,1009
R_ACACT4r_f,141
R_ALLTNtex_b,309
R_GCALDD,987
R_SERtex_f,1905
R_FACOAE80,867
R_SHKK,1913
R_EX_o2_LPAREN_e_RPAREN__f,818
R_FE3HOXUtex,895
R_IDONt2rpp_f,1214
R_ARGtex_f,370
R_DASYN160,571
R_EX_xtsn_LPAREN_e_RPAREN_,843
R_MELIBt3ipp,1388
R_PLIPA2E181pp,1729
R_SO4tex_b,1916
R_EX_12ppd_DASH_R_LPAREN_e_RPAREN_,714
R_PETNT181pp,1631
R_CRNDabcpp,503
R_PLIPA2G181pp,1736
R_GMPR,1088
R_ACOATA_b,184
R_OPHHX,1575
R_GLYCTO2,1069
R_DHAPT,585
